parameter,notation
LOS AOD,"ϕLOS,AOD"
LOS AOA,"ϕLOS,AOA"
LOS ZOD,"θLOS,ZOD"
LOS ZOA,"θLOS,ZOA"
AOA for cluster n,"ϕn,AOA"
AOD for cluster n,"ϕn,AOD"
AOA for ray m in cluster n,"ϕn,m,AOA"
AOD for ray m in cluster n,"ϕn,m,AOD"
ZOA for cluster n,"θn,ZOA"
ZOD for cluster n,"θn,ZOD"
ZOA for ray m in cluster n,"θn,m,ZOA"
ZOD for ray m in cluster n,"θn,m,ZOD"
Receive antenna element u field pattern in the direction of the spherical basis vector,"Frx,u,θ"
Receive antenna element u field pattern in the direction of the spherical basis vector,"Frx,u,ϕ"
Transmit antenna element s field pattern in the direction of the spherical basis vector,"Ftx,s,θ"
Transmit antenna element s field pattern in the direction of the spherical basis vector,"Frx,s,ϕ"
